walletAddress,amount
0x08afcCb891ec4028C273191CaE1326381b91A91D,242466371879943559179083
0x463eAaac85A5Fc9f60A7CDC0E884b6381fC47Fa8,232225920371059764875099
0xbb1c1F3dAE1940842F8Fa37345219329c95BDF8d,195840518212924245744944
0xC249a09DdBc0CCD4f7761b933Ebb2227FfE7691A,55640408436490375606809
0xb91Db6E574eE552091D6Fa19Cc3325386ce35939,54365786889025213895366
0x6aC75D4aB859376680093D2bF87356763168Fd68,52824583467613083485048
0x69b235c1c3F16F828B2394193A7AbEA79EE40C07,51999005620790856482927
0x3F9AF3BC17b56B304b98bE83bE0ebEa40077779b,44005060827108878584113
0xeC97f290B3Ac5c6e1a7c738f6f535C8677d35004,29696997029892314458266
0x57fD1260B14914E8E9DD468b6e2130EcA353f749,25762574686115876829717
0x9fB59A5Eee33709B8EbaE026600c8133dDEe3Ecd,14362112138943284662673
0x26D067c1BD1762D9bb6EFE783b1FCd925F0E746d,526076082412346522688
0x9dB71CF649Afd7906f78DbDC16944e72Cba9C4f4,160355104778328836801
0x3f80E5506bd55f4A8878f6776aD9e6d213E3F2E2,37385383439838754782
0xDE82F403bE0f6fFc7ecBA6a0Ce7829CfA584F392,26704397721452821202
0x96f026aE1bD72F8881319541959018e6c1Fd3071,23015443884058768731
0xA8582F25Ac0CE55d1dfd41B051Ae0A9E9eD4413C,15814050235080124196
0x156AC784BaE328f6aFb6403460145BA8B029d3b5,5720963667884997328
0x568f987a963A029E2407eE789Af966532F65c737,2877127705797003721
0x4bd78324Ba5a88c8b5eC40C44b9AC33edF4BC4e8,2100194442985195753
0x4c1eFe9Cb913fDe7C5E9Cb8DA70bd7fa3100Ec88,1942121809412226563
0xECeC63d08056F157350b2E28BA17D2F5C2a1d5Fd,1894383090362373734
0x285185692c524fc3052e1706e0b400428e7F165A,1885868942393017056
0x6bE6C401398F5578E5F3c494008C44dB7DFdD29E,1766314017176447537
0x63b6206f53954E123f5dB5284Be4bf416Ed56137,1037776677961084415
0xc4Aa498De47b3591fd889A349dA1D4aD87D0ef19,1029389090203832069
0x1A5B9A64189F54BBD3C01335e60C56c027fCF633,739422297465348821
0x0D33d24eea04a3F776733cDfE2c0cDA228E8e7cE,316415879621225193
