walletAddress,amount
0xF368d43f148e1803eC793670183b0CA6a07d3898,61875321979877553530969
0xD14f57283D1487f7bec9A3B4cCfed80930BBc91C,21898478018515299481805
0x5e0F185BCb55EEA0F2CB8a4E074F903cAb3272ce,15159209660854061439750
0x8fdc8b871355529741073c083A1C8a6a71853ee0,5139168181361712413491
0xd35c3AbEa8A6EDc0a5F51c50f086514Ee8856E03,4232327198666725962539
0x6871d8167BfE94C3851415928E8928a097473C80,3841894004579708507663
0x25f290C3C43A34c56FeDBe16a29FAFE3b21A1d0B,3748067923416096618894
0xD98a1b4082052b57e5688A69d07263c4b7963C5D,2924105549700623214449
0xA30d10cb8680A0892E3BAEa0056c8f28bA020aA8,2075237199467943355558
0x234Dfbd48838323c133a1B857F5Ec2309E3845F6,2049606865256888340809
0xf22B3f64b377271BA34294810528E80739BcA781,1986351428434154740899
0x709c24e96E17E8A0FAf8B2Cc81026e90655dF5B0,1892615600979580449348
0xd52AD30d14d4f5a4e8A7039BE712243815348A07,1786288547283355683248
0xfbf14434935C2FbFF62B5e7505841cA7AB441672,1754048158341158114126
0x9E406B2c2021966f3983E899643609C45E3bBFFe,1701227001696984189039
0xcF2f1E8Ba2840d350b659a860A0305d16313Bc53,1528389112815304088144
0xE31DEACeE1770Dfa56f8849724bcB7f8E5f76Ef2,1424483799815923475762
0xCE15503ea91DeA2B4c59d7aa6354627EF375deaC,1423672122422853362878
0xc65c762FC8A7E1618529C1E49Ea3fE572DBdc40b,1391717689269294851329
0x6Bd0E7AB4Ef8543460858FA69A22e6cc4bADe8BB,1288057086044158268123
0xaC6e4c4D8f12a15b66aFfF0E69b7767BBbfDB3d6,1277870231056039983741
0x4d8cE01aaE2cC721dbfbC9D1E181565640BA925E,1275117399518381716916
0xbAbDF82A464A73b481Ee0A13422d3C2cbED96433,1216086679075437587016
0x809Ec84644d4Cc0Ae27Dba154b6ACFa8ffE0CbB7,1111008800118210729124
0x738671901aFfbc417FA370CF936e461BB5315bd0,1067306184723919614044
0x35E4895E2eDD6156E692FE0d868B57Ef95109C34,1005831128702118007823
0xf0C2E9AEA3A34d5FeE427933be5a05444B02B8AA,869426852890971531451
