walletAddress,amount
0x08afcCb891ec4028C273191CaE1326381b91A91D,296640535763330059126019
0x463eAaac85A5Fc9f60A7CDC0E884b6381fC47Fa8,293840297279588994570076
0xbb1c1F3dAE1940842F8Fa37345219329c95BDF8d,76902364178049450856633
0xC249a09DdBc0CCD4f7761b933Ebb2227FfE7691A,65153226138227619230747
0xb91Db6E574eE552091D6Fa19Cc3325386ce35939,63660683070046252396423
0x6aC75D4aB859376680093D2bF87356763168Fd68,61855980734784148808103
0x69b235c1c3F16F828B2394193A7AbEA79EE40C07,41091406998836639104411
0x3F9AF3BC17b56B304b98bE83bE0ebEa40077779b,34098739620973879937083
0xeC97f290B3Ac5c6e1a7c738f6f535C8677d35004,30681129032220138469711
0x9fB59A5Eee33709B8EbaE026600c8133dDEe3Ecd,30377353973608711385168
0x9dB71CF649Afd7906f78DbDC16944e72Cba9C4f4,4693762478846642807184
0x57fD1260B14914E8E9DD468b6e2130EcA353f749,742622737592892690373
0xDE82F403bE0f6fFc7ecBA6a0Ce7829CfA584F392,243821115573155964285
0xA8582F25Ac0CE55d1dfd41B051Ae0A9E9eD4413C,16743783038562529697
0xECeC63d08056F157350b2E28BA17D2F5C2a1d5Fd,349127888491877203
0x285185692c524fc3052e1706e0b400428e7F165A,347558762100298291
0x156AC784BaE328f6aFb6403460145BA8B029d3b5,239374230915713387
0xc4Aa498De47b3591fd889A349dA1D4aD87D0ef19,189712651748117023
0x4bd78324Ba5a88c8b5eC40C44b9AC33edF4BC4e8,79269839563024830
0x4c1eFe9Cb913fDe7C5E9Cb8DA70bd7fa3100Ec88,73303538516716296
0x1A5B9A64189F54BBD3C01335e60C56c027fCF633,54748371440770417
