walletAddress,amount
0xF368d43f148e1803eC793670183b0CA6a07d3898,47101733463084005052224
0xD14f57283D1487f7bec9A3B4cCfed80930BBc91C,16045597537874182307860
0xd35c3AbEa8A6EDc0a5F51c50f086514Ee8856E03,5551677018828502696124
0x6871d8167BfE94C3851415928E8928a097473C80,5047184484409276592487
0x393ED02c3Ce168dE42C4a2342D9979fe95d13694,2044284727922940874123
0x709c24e96E17E8A0FAf8B2Cc81026e90655dF5B0,1983430196172675323396
0x74EB390C06a7Cc1158a0895Fb289E5037633E38B,1941336337646812808089
0x9E406B2c2021966f3983E899643609C45E3bBFFe,1414408494461837790368
0xFf2F1e53003329fD8499cF3dE164bB03bC615F0d,1331166878828696553683
0xf22B3f64b377271BA34294810528E80739BcA781,1136683982063210351043
0x17e5757321Cb0A15D3020A3a3F0C46272f81e3dF,1058750093806925406170
0x6Bd0E7AB4Ef8543460858FA69A22e6cc4bADe8BB,1037833075410806713990
0xCE15503ea91DeA2B4c59d7aa6354627EF375deaC,973037273037143791043
0xbAbDF82A464A73b481Ee0A13422d3C2cbED96433,953536161608525731026
0x3F9AF3BC17b56B304b98bE83bE0ebEa40077779b,917342208057131074384
0x1aa4a66Ef0cfA99cA9D39FdAD2B05489744C972a,901708973857764135573
0x4d8cE01aaE2cC721dbfbC9D1E181565640BA925E,824797606668173443722
0xc677a5dA9CDC11eBD162492DCD2eF50c25995E43,768411315332931167177
0xc697C04F4E4db1b42032f83Be95704bd4F629090,666264934154818206480
0xCc1ca3605F8D4863aBd634E0Ae9577eAB5072b76,666255231809289625744
0x4572Ddd29Abe2CA08FeD89426668f1d54C479cb1,666188128902927815034
0x4DbbFfE9D2f370821253cDE30EDf731C7e185818,614966633485886063681
0x1B921FfF55439b6891aE3EBEB0199189a3CC6496,575987234328164618091
0x61b5cf770BD0D609cd8e026472e008FD3263825a,554854870036066245120
0xdb151D459240948328093E577Fa3d8966e52Ef78,519827157722528681916
0x7170b89DD46aE7e59cD9357415763E7110E0bafD,466306793218414782132
0x19BD55306174e2c493f69Caa57cE94ccb53f849F,466150793741616382704
0x55a4b9D0d94B2566197E52c9e39212C052b645F2,456781610724173901872
0xa0a77A9262d1771cc6f6126ED9665283d8185dcF,436709614967323830115
0x921dd5170CA46f407DBFcd3C90A1987C817FDdB6,436057312368941040859
0xFB9e5F5874565A6eF8FCF1DEbc4975501331a8Ca,435448832570385718554
0x110381B4aB9A56C206531431B69764AAf5b30D38,428725212616319254266
