walletAddress,amount
0x08afcCb891ec4028C273191CaE1326381b91A91D,205679836636036372510716
0x463eAaac85A5Fc9f60A7CDC0E884b6381fC47Fa8,196993046888263692380860
0xbb1c1F3dAE1940842F8Fa37345219329c95BDF8d,190161562067903054412454
0x57fD1260B14914E8E9DD468b6e2130EcA353f749,127594385853475221665576
0x9dB71CF649Afd7906f78DbDC16944e72Cba9C4f4,59822802746361783647444
0x3F9AF3BC17b56B304b98bE83bE0ebEa40077779b,51037773675598844420165
0xC249a09DdBc0CCD4f7761b933Ebb2227FfE7691A,47198751846900224336423
0xb91Db6E574eE552091D6Fa19Cc3325386ce35939,46117513448260571749415
0x6aC75D4aB859376680093D2bF87356763168Fd68,44810138468872188241221
0xeC97f290B3Ac5c6e1a7c738f6f535C8677d35004,17086451682775248627877
0x47673FD33B84A0EE8a2BC2eC36df0f774496EA27,10034126448635308406665
0x537b6F941ce307aB8c99a3340Ce137197bE5225F,1085436898869202195783
0x69b235c1c3F16F828B2394193A7AbEA79EE40C07,546996555510435541692
0xdaeC7161DA92f7B5584334e71D4ef6C005904469,520905110773268006596
0x4740CC758ca1bc5Bedf74668706217b37BF7F254,345872418955073499092
0xF17d781198E815019B743F497CF4CA39BaeC2b97,269195201973750442903
0xf40020D82C0a8819B8F542084cB635F764e72769,269086770396525764681
0x96f026aE1bD72F8881319541959018e6c1Fd3071,102755938089184354567
0xE203582Be0577e5839C48A486E79AFf9568d9419,98673106761244241625
0xDE82F403bE0f6fFc7ecBA6a0Ce7829CfA584F392,67229279921820435106
0xaa3163db743B6000d70439A0D410d24A8f9D172d,55162109145858671866
0x568f987a963A029E2407eE789Af966532F65c737,29208527698950323526
0x156AC784BaE328f6aFb6403460145BA8B029d3b5,22887053382843717486
0xA8582F25Ac0CE55d1dfd41B051Ae0A9E9eD4413C,13414772711309776554
0x4c1eFe9Cb913fDe7C5E9Cb8DA70bd7fa3100Ec88,7745588154702552686
0x89EE0d3B56175BAceb80313808102d407D170F6b,6909032863864404739
0x594Df1F334b72709f9F80b4846cE54BA416eE2d3,2980271396027185826
0x4bd78324Ba5a88c8b5eC40C44b9AC33edF4BC4e8,2970298583716334484
0xECeC63d08056F157350b2E28BA17D2F5C2a1d5Fd,2679220216544110134
0x285185692c524fc3052e1706e0b400428e7F165A,2667178683085436930
0xf69FD89fdA555bE7F594286EFd4Cb2F9C00ec0d1,2439791682896278679
0x6bE6C401398F5578E5F3c494008C44dB7DFdD29E,2375634290712631991
0xc4Aa498De47b3591fd889A349dA1D4aD87D0ef19,1455861845048719960
0x2E514978a84227D04625D560da4D33f09343D122,1066371458717799925
0xa3CE040990413270A0A6Da00450a56Ff66dE6141,1033026565742884761
0x63b6206f53954E123f5dB5284Be4bf416Ed56137,672380790806470507
0x1A5B9A64189F54BBD3C01335e60C56c027fCF633,627238557530853891
0x93859CC88a09Be9C1bc033d435F87f305Bc28224,600483084079805329
0x0D33d24eea04a3F776733cDfE2c0cDA228E8e7cE,564114554957053205
