walletAddress,amount
0x08afcCb891ec4028C273191CaE1326381b91A91D,196629648083639884134755
0x463eAaac85A5Fc9f60A7CDC0E884b6381fC47Fa8,188325088730533578200266
0xbb1c1F3dAE1940842F8Fa37345219329c95BDF8d,181794198400757857598364
0x57fD1260B14914E8E9DD468b6e2130EcA353f749,144985595068155380431563
0x3F9AF3BC17b56B304b98bE83bE0ebEa40077779b,48792043211138821789064
0xC249a09DdBc0CCD4f7761b933Ebb2227FfE7691A,45121943489608100207988
0x69b235c1c3F16F828B2394193A7AbEA79EE40C07,45050171115315853967331
0xb91Db6E574eE552091D6Fa19Cc3325386ce35939,44088281030048441607505
0x6aC75D4aB859376680093D2bF87356763168Fd68,42838432302458182675764
0x9dB71CF649Afd7906f78DbDC16944e72Cba9C4f4,32621004642238105589058
0xeC97f290B3Ac5c6e1a7c738f6f535C8677d35004,25425336343474773457274
0x47673FD33B84A0EE8a2BC2eC36df0f774496EA27,3537940038696810461261
0x3f80E5506bd55f4A8878f6776aD9e6d213E3F2E2,275669581646085816828
0x96f026aE1bD72F8881319541959018e6c1Fd3071,180050115185143084773
0xDE82F403bE0f6fFc7ecBA6a0Ce7829CfA584F392,131989557640892854806
0x4740CC758ca1bc5Bedf74668706217b37BF7F254,66966176342216741091
0xE203582Be0577e5839C48A486E79AFf9568d9419,45543495592675704131
0x2E514978a84227D04625D560da4D33f09343D122,16193236288204499118
0xaa3163db743B6000d70439A0D410d24A8f9D172d,15207230332976877207
0xA8582F25Ac0CE55d1dfd41B051Ae0A9E9eD4413C,12824504727775078550
0x4c1eFe9Cb913fDe7C5E9Cb8DA70bd7fa3100Ec88,11874668630723235196
0x89EE0d3B56175BAceb80313808102d407D170F6b,10275632573311106910
0xf69FD89fdA555bE7F594286EFd4Cb2F9C00ec0d1,6919285486890984771
0x568f987a963A029E2407eE789Af966532F65c737,5322075732876796472
0x156AC784BaE328f6aFb6403460145BA8B029d3b5,2752156496729864621
0x6bE6C401398F5578E5F3c494008C44dB7DFdD29E,1529583960752278760
0x4bd78324Ba5a88c8b5eC40C44b9AC33edF4BC4e8,1305162285675303346
0x93859CC88a09Be9C1bc033d435F87f305Bc28224,1281453944368293740
0xECeC63d08056F157350b2E28BA17D2F5C2a1d5Fd,1177261168564776916
0x285185692c524fc3052e1706e0b400428e7F165A,1171970065704573738
0x63b6206f53954E123f5dB5284Be4bf416Ed56137,642795134597609841
0xc4Aa498De47b3591fd889A349dA1D4aD87D0ef19,639712109660660722
0x1A5B9A64189F54BBD3C01335e60C56c027fCF633,599639220105124715
0x0D33d24eea04a3F776733cDfE2c0cDA228E8e7cE,247874421099196524
0xa3CE040990413270A0A6Da00450a56Ff66dE6141,134374946983423421
